# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.710000000000000000e+03,-1.195932082702656984e+01,5.815855819743942945e+00,2.946262993379837170e+01,-2.392901371000000221e+00,8.119309999999999583e-01,-9.745862786000000222e-01,1.312644497237793360e+02
2.712000000000000000e+03,1.416975644717843252e+01,-5.594528871124378355e+00,2.655401081153848253e+01,1.925569904999999915e+00,7.032420000000000337e-01,5.658439692000000187e-01,2.833212592080126768e+01
2.725000000000000000e+03,1.326229443576027789e+00,-8.484176592138387818e+00,2.572551894444653442e+01,6.289837708000000083e-01,6.710099999999999953e-01,2.498435434000000122e+00,2.257466242884397545e+01
2.729000000000000000e+03,-6.170039666213849472e+00,-8.460447152826871431e+00,3.008826316085164265e+01,-1.046439757999999998e+00,8.541840000000000543e-01,-1.879143047999999983e+00,4.959741828696533616e+01
2.735000000000000000e+03,1.856585494593762320e+01,-1.081797204232748655e+01,2.604504688773310761e+01,9.823226495000000336e-01,8.124160000000000270e-01,2.562924488000000167e+00,7.288493149828440210e+01
2.743000000000000000e+03,-2.341115466475856444e+00,9.654349886773601952e+00,3.293343659300543891e+01,-9.859003927999999695e-01,9.598630000000000217e-01,-2.507258728000000048e+00,1.081717700013608265e+02
2.744000000000000000e+03,2.156473800390097750e+01,-5.475128738205151002e+00,3.049197223014433789e+01,1.326780092999999994e+00,6.166490000000000027e-01,1.051420159999999937e+00,2.493407143899989364e+01
2.745000000000000000e+03,-2.066003529803284167e+01,-3.012214846958456871e+00,3.005919829274520438e+01,-2.321711110999999939e+00,8.581330000000000346e-01,-4.691054682999999947e-01,1.163605949892284457e+02
2.747000000000000000e+03,1.258861428924224057e+01,8.068878212632837332e+00,3.004697889392026511e+01,2.026159199999999938e+00,7.257970000000000255e-01,9.065359779999999645e-01,9.613643257258758013e+01
2.750000000000000000e+03,-1.677933804035678733e+01,-1.803978010508094343e+01,2.680965965668945472e+01,-1.269187024000000052e+00,8.041230000000000322e-01,-2.629041956000000013e+00,5.614019527293243783e+01
2.752000000000000000e+03,1.078948913970468304e+01,1.241003163882381877e+01,3.047001526628749701e+01,1.383529959999999948e+00,6.614389999999999992e-01,1.026189709999999922e+00,3.074908334019769995e+01
2.754000000000000000e+03,-4.850734663586993456e+00,-1.449639477822533884e+01,2.747357562776444695e+01,4.495224290000000011e-01,9.041010000000000435e-01,2.455571037999999984e+00,6.380509274503758377e+01
2.756000000000000000e+03,1.935964895759090609e+01,-7.270364516073524186e-01,2.661523283850933908e+01,3.571945755000000000e-01,7.070130000000000026e-01,2.695286223000000092e+00,4.655173259725591350e+01
2.759000000000000000e+03,-4.679185828045092421e+00,2.034966847818946079e+01,3.170291736145041739e+01,2.999489124000000118e+00,6.380799999999999805e-01,4.996587305999999895e-01,4.886777341715033174e+01
2.769000000000000000e+03,2.170898364386134816e+01,7.998530933490312300e+00,3.104528756276227952e+01,-1.096430570999999965e+00,8.436310000000000198e-01,-2.506870168999999926e+00,9.471338958066564828e+01
2.778000000000000000e+03,-1.412756558313549782e+01,1.691921176078679778e+01,3.653353244622735474e+01,7.464749497999999539e-01,8.706059999999999910e-01,2.554093755999999882e+00,4.906977942226781408e+01
2.785000000000000000e+03,8.747672243483044952e+00,1.738043012834343060e+01,2.926956005011089346e+01,-4.456575443999999941e-01,8.498470000000000191e-01,-2.339882451999999891e+00,5.433618511229112613e+01
2.795000000000000000e+03,-1.950825715515625003e+00,-2.275128922775626172e+00,2.948473500072715936e+01,-1.261358591999999890e+00,6.594499999999999806e-01,-2.016297584999999781e+00,3.500169241766761985e+01
2.797000000000000000e+03,1.443985286923260780e+01,-1.763258167695652689e+00,2.934895666010273629e+01,2.279977641999999971e+00,8.716829999999999856e-01,7.189482866999999944e-01,2.768747692928002948e+02
2.800000000000000000e+03,-1.486712285365599584e+01,3.203491050497528025e+00,2.589157600033470175e+01,8.791187469000000254e-01,8.160199999999999676e-01,2.656709838999999906e+00,1.801426476877945149e+01
2.806000000000000000e+03,-5.441270786098674206e-01,2.002534602217804327e+00,3.533990489850923211e+01,5.161422531999999563e-01,8.333859999999999602e-01,2.736181826000000150e+00,5.040020853979410020e+01
2.810000000000000000e+03,-3.882302340448126277e+00,-8.845379425269751295e+00,2.729248442957820231e+01,-8.898014012999999611e-01,7.082129999999999814e-01,-2.302801082000000221e+00,1.785301220452709003e+01
2.812000000000000000e+03,1.279683139352527199e+01,-1.856622793098398816e+01,3.147105057012174356e+01,7.502994815000000317e-01,7.480259999999999687e-01,2.311892714999999932e+00,1.082344648122803932e+02
2.813000000000000000e+03,1.426034540034688369e+01,4.329345792557535155e+00,3.217963828206563903e+01,2.036694368000000033e+00,6.512959999999999861e-01,9.864136153000000462e-01,6.694876271403916235e+01
2.825000000000000000e+03,5.527317514024434608e-01,1.527936947128487333e+01,3.044072243635559616e+01,-2.214078028999999948e+00,9.199540000000000495e-01,-9.832488152999999675e-01,2.307018250984377516e+01
2.831000000000000000e+03,2.596021337636008841e+00,1.764946081811014977e+01,2.887882116456066939e+01,-2.513494790999999839e+00,7.152880000000000349e-01,-1.266057604000000003e+00,1.481875988825873947e+01
